SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6829 Corintia St,Carlsbad,CA,92009,2499999,5,3.5,La Costa,4300,10953,1978,4,581,,Active,,,https://www.redfin.com/CA/Carlsbad/6829-Corintia-St-92009/home/3758127,SDMLS,240002357,N,Y,33.1033949,-117.2428785
MLS Listing,,Single Family Residential,1577 Martingale Ct,Carlsbad,CA,92011,2250000,4,3.0,92011 - Carlsbad,3079,7589,2001,4,731,120,Active,,,https://www.redfin.com/CA/Carlsbad/1577-Martingale-Ct-92011/home/6378343,CRMLS,NDP2400812,N,Y,33.1147545,-117.2893216
MLS Listing,,Single Family Residential,7369 Alicante Rd,Carlsbad,CA,92009,1750000,3,3.5,92009 - Carlsbad,4283,1,1985,5,409,550,Active,,,https://www.redfin.com/CA/Carlsbad/7369-Alicante-Rd-92009/home/3750380,CRMLS,NDP2400428,N,Y,33.093648,-117.259015
MLS Listing,,Single Family Residential,3773 Gail Dr,Oceanside,CA,92056,569500,2,1.0,92056 - Oceanside,827,2800,1974,5,689,,Active,,,https://www.redfin.com/CA/Oceanside/3773-Gail-Dr-92056/home/3388400,CRMLS,NDP2400832,N,Y,33.1825728,-117.3026737
MLS Listing,,Single Family Residential,2238 Masters Rd,Carlsbad,CA,92008,1700000,4,3.0,92008 - Carlsbad,2604,9604,1997,5,653,97,Active,,,https://www.redfin.com/CA/Carlsbad/2238-Masters-Rd-92008/home/3711196,CRMLS,NDP2400831,N,Y,33.1417797,-117.2925683
MLS Listing,,Single Family Residential,6217 Village Green Dr,Carlsbad,CA,92009,1750000,4,3.0,92009 - Carlsbad,2935,5402,2006,5,596,320,Active,,,https://www.redfin.com/CA/Carlsbad/6217-Village-Green-Dr-92009/home/7513130,CRMLS,NDP2400778,N,Y,33.1269373,-117.257163
MLS Listing,,Single Family Residential,2380 Jefferson St,Carlsbad,CA,92008,2500000,5,4.5,92008 - Carlsbad,3683,11325,2003,6,679,,Active,,,https://www.redfin.com/CA/Carlsbad/2380-Jefferson-St-92008/home/3232086,CRMLS,NDP2400803,N,Y,33.1717956,-117.3484071
MLS Listing,,Single Family Residential,4652 Woodstock St,Carlsbad,CA,92010,920000,2,2.5,92010 - Carlsbad,1435,2202,1984,6,641,370,Active,,,https://www.redfin.com/CA/Carlsbad/4652-Woodstock-St-92010/home/3421298,CRMLS,NDP2400285,N,Y,33.162579,-117.295756
MLS Listing,,Single Family Residential,6727 Lemon Leaf Dr,Carlsbad,CA,92011,2495000,4,3.0,92011 - Carlsbad,2696,9878,1998,7,925,111,Active,,,https://www.redfin.com/CA/Carlsbad/6727-Lemon-Leaf-Dr-92011/home/3745566,CRMLS,NDP2400799,N,Y,33.1127129,-117.2982481
MLS Listing,,Single Family Residential,3343 Del Rio Ct,Carlsbad,CA,92009,1365000,4,2.0,Carlsbad East,1722,,1980,7,793,116,Active,,,https://www.redfin.com/CA/Carlsbad/3343-Del-Rio-Ct-92009/home/3868435,SDMLS,240001623,N,Y,33.0842899,-117.234518
MLS Listing,,Single Family Residential,3371 Corte Panorama,Carlsbad,CA,92009,2098000,5,4.5,La Costa,3688,7904,2009,7,569,289,Active,,,https://www.redfin.com/CA/Carlsbad/3371-Corte-Panorama-92009/home/22420790,SDMLS,240002123,N,Y,33.0956659,-117.2288802
MLS Listing,,Single Family Residential,6887 AMBER Ln,Carlsbad,CA,92009,3300000,6,5.5,La Costa,4750,9200,2006,7,695,219,Active,,,https://www.redfin.com/CA/Carlsbad/6887-Amber-Ln-92009/home/7513664,SDMLS,240002120,N,Y,33.1068182,-117.2539709
MLS Listing,,Single Family Residential,3072 Marron Rd,Carlsbad,CA,92010,1333000,3,3.5,92010 - Carlsbad,2309,3122,2019,9,577,251,Pre On-Market,,,https://www.redfin.com/CA/Carlsbad/3072-Marron-Rd-92010/home/145541465,CRMLS,NDP2400757,N,Y,33.175447,-117.3072196
MLS Listing,,Single Family Residential,6638 Elegant Tern Pl,Carlsbad,CA,92011,2695000,5,4.5,92011 - Carlsbad,3983,12424,2003,10,677,123,Active,,,https://www.redfin.com/CA/Carlsbad/6638-Elegant-Tern-Pl-92011/home/6562964,CRMLS,NDP2400744,N,Y,33.1096616,-117.2857748
MLS Listing,,Single Family Residential,305 Juniper Ave,Carlsbad,CA,92008,2649000,3,3.5,92008 - Carlsbad,2437,,2023,10,1087,,Active,,,https://www.redfin.com/CA/Carlsbad/305-Juniper-Ave-92008/home/187341382,CRMLS,NDP2400740,N,Y,33.1508146,-117.3441231
MLS Listing,,Single Family Residential,553 DEW POINT Ave,Carlsbad,CA,92011,1725000,4,2.5,92011 - Carlsbad,2220,,2001,10,777,320,Active,,,https://www.redfin.com/CA/Carlsbad/553-Dew-Point-Ave-92011/home/6308680,CRMLS,NDP2400599,N,Y,33.0961467,-117.310278
MLS Listing,,Single Family Residential,6075 Paseo Pradera,Carlsbad,CA,92009,1399900,4,2.5,Carlsbad East,2269,6691,2002,11,617,139,Active,,,https://www.redfin.com/CA/Carlsbad/6075-Paseo-Pradera-92009/home/6383757,SDMLS,240001957,N,Y,33.1277616,-117.2341231
MLS Listing,,Single Family Residential,1728 Cereus Ct,Carlsbad,CA,92011,2099000,3,2.5,92011 - Carlsbad,2200,17859,1978,11,954,,Active,February-10-2024 11:00 AM,February-10-2024 04:00 PM,https://www.redfin.com/CA/Carlsbad/1728-Cereus-Ct-92011/home/3759746,CRMLS,NDP2400721,N,Y,33.1001054,-117.2714849
MLS Listing,,Single Family Residential,7222 Estrella De Mar Rd,Carlsbad,CA,92009,1789000,3,3.0,92009 - Carlsbad,2225,7913,1968,11,804,,Active,,,https://www.redfin.com/CA/Carlsbad/7222-Estrella-de-Mar-Rd-92009/home/3749285,CRMLS,NDP2400699,N,Y,33.0962649,-117.2665782
MLS Listing,,Single Family Residential,1945 Stewart St,Oceanside,CA,92054,2150000,4,2.5,92054 - Oceanside,2577,11000,1952,12,834,,Active,,,https://www.redfin.com/CA/Oceanside/1945-Stewart-St-92054/home/3226995,CRMLS,NDP2400663,N,Y,33.1757367,-117.3539779
MLS Listing,,Single Family Residential,2821 Carrillo Way,Carlsbad,CA,92009,1995000,4,4.5,92009 - Carlsbad,3758,11668,2002,17,531,107,Active,,,https://www.redfin.com/CA/Carlsbad/2821-Carrillo-Way-92009/home/6384626,CRMLS,OC24009131,N,Y,33.1136866,-117.2427637
MLS Listing,,Single Family Residential,2385 Avenida Helecho,Carlsbad,CA,92009,2000000,6,3.0,La Costa,2848,6000,2000,18,702,138,Active,,,https://www.redfin.com/CA/Carlsbad/Avenida-Helecho-92009/home/4083204,SDMLS,240001439,N,Y,33.0788539,-117.2538561
MLS Listing,,Single Family Residential,1790 Yada Pl,Carlsbad,CA,92008,3500000,5,3.5,92008 - Carlsbad,3004,12816,2019,18,1165,200,Active,,,https://www.redfin.com/CA/Carlsbad/1790-Yada-Pl-92008/home/167198548,CRMLS,NDP2400501,N,Y,33.1688324,-117.335434
MLS Listing,,Single Family Residential,1500 Sapphire Dr,Carlsbad,CA,92011,1649000,3,2.5,92011 - Carlsbad,2284,4925,2000,18,722,215,Active,,,https://www.redfin.com/CA/Carlsbad/1500-Sapphire-Dr-92011/home/3713262,CRMLS,NDP2400485,N,Y,33.1178057,-117.2927615
MLS Listing,,Single Family Residential,3707 Four Peaks,Carlsbad,CA,92010,1700000,3,2.5,92010 - Carlsbad,1989,6059,2014,24,855,230,Active,,,https://www.redfin.com/CA/Carlsbad/3707-Four-Peaks-St-92010/home/22650703,CRMLS,NDP2400233,N,Y,33.1565575,-117.2914232
MLS Listing,,Single Family Residential,3955 Garfield St,Carlsbad,CA,92008,4195000,4,3.5,Carlsbad West,2728,3567,2008,24,1538,,Active,,,https://www.redfin.com/CA/Carlsbad/3955-Garfield-St-92008/home/12163238,SDMLS,240001023,N,Y,33.1474672,-117.3434548
MLS Listing,,Single Family Residential,2638 Unicornio St,Carlsbad,CA,92009,2149500,4,3.0,92009 - Carlsbad,2849,11177,1982,24,754,,Active,,,https://www.redfin.com/CA/Carlsbad/2638-Unicornio-St-92009/home/3757751,CRMLS,NDP2400333,N,Y,33.1093688,-117.2476324
MLS Listing,,Single Family Residential,3855 Woodvale Dr,Carlsbad,CA,92008,2299000,4,3.0,92008 - Carlsbad,1870,13300,1956,25,1229,,Active,,,https://www.redfin.com/CA/Carlsbad/3855-Woodvale-Dr-92008/home/3695319,CRMLS,NDP2400323,N,Y,33.1589463,-117.3237292
MLS Listing,,Single Family Residential,3437 Corte Fortuna,Carlsbad,CA,92009,2265000,5,4.5,92009 - Carlsbad,3563,7754,2012,25,636,289,Active,,,https://www.redfin.com/CA/Carlsbad/3437-Corte-Fortuna-92009/home/22638640,CRMLS,NDP2400322,N,Y,33.0987225,-117.2251299
MLS Listing,,Single Family Residential,2725 Glasgow Dr,Carlsbad,CA,92010,1300000,2,2.0,92010 - Carlsbad,1252,8750,1984,25,1038,93,Active,,,https://www.redfin.com/CA/Carlsbad/2725-Glasgow-Dr-92010/home/3704516,CRMLS,NDP2400291,N,Y,33.1601764,-117.301893
MLS Listing,,Single Family Residential,7511-13 PASEO CRISTAL,Carlsbad,CA,92009,3250000,5,4.5,92009 - Carlsbad,4706,15120,2014,27,691,233,Active,,,https://www.redfin.com/CA/Carlsbad/7511-Paseo-Cristal-92009/home/95961773,CRMLS,NDP2400236,N,Y,33.080172771,-117.2199238
MLS Listing,,Single Family Residential,3340 Cadencia St,Carlsbad,CA,92009,1949000,4,3.0,92009 - Carlsbad,3265,10302,1979,28,597,,Active,,,https://www.redfin.com/CA/Carlsbad/3340-Cadencia-St-92009/home/3868999,CRMLS,NDP2400120,N,Y,33.0900485,-117.229282
MLS Listing,,Single Family Residential,4202 Lindos Way,Oceanside,CA,92056,985000,2,2.0,92056 - Oceanside,1646,6744,1998,30,598,577,Active,,,https://www.redfin.com/CA/Oceanside/4202-Lindos-Way-92056/home/3456983,CRMLS,NDP2400149,N,Y,33.1542365,-117.2646034
MLS Listing,,Single Family Residential,6230 RANCHO BRAVADO,Carlsbad,CA,92009,2249000,5,4.5,92009 - Carlsbad,4476,9583,2001,31,502,207,Active,,,https://www.redfin.com/CA/Carlsbad/6230-Rancho-Bravado-92009/home/3854237,CRMLS,NDP2400142,N,Y,33.1239968,-117.2441187
MLS Listing,,Single Family Residential,7229 Almaden Ln,Carlsbad,CA,92009,5995000,6,6.5,La Costa,6226,24829,2006,31,963,,Active,,,https://www.redfin.com/CA/Carlsbad/7229-Almaden-Ln-92009/home/3750400,SDMLS,SDC0000774,N,Y,33.0957473,-117.2619625
MLS Listing,,Single Family Residential,1734 Avenida La Posta,Encinitas,CA,92024,1899999,3,2.0,92024 - Encinitas,1605,6309,1986,31,1184,125,Active,,,https://www.redfin.com/CA/Encinitas/1734-Avenida-La-Posta-92024/home/4074939,CRMLS,NDP2400126,N,Y,33.0635099,-117.247265
MLS Listing,,Single Family Residential,2018 Pintoresco Ct,Carlsbad,CA,92009,1849000,3,2.0,La Costa,2124,9985,1978,32,871,,Active,,,https://www.redfin.com/CA/Carlsbad/2018-Pintoresco-Ct-92009/home/3794744,SDMLS,240000338,N,Y,33.0847331,-117.2631567
MLS Listing,,Single Family Residential,3275 Maezel Ln,Carlsbad,CA,92008,2149000,5,3.5,Carlsbad West,2420,8900,1960,33,888,,Active,,,https://www.redfin.com/CA/Carlsbad/3275-Maezel-Ln-92008/home/3688654,SDMLS,240000220,N,Y,33.164829,-117.3317089
MLS Listing,,Single Family Residential,5415 El Arbol Dr,Carlsbad,CA,92008,2199000,4,2.5,Carlsbad West,1481,8200,1974,33,1485,,Active,,,https://www.redfin.com/CA/Carlsbad/5415-El-Arbol-Dr-92008/home/3708950,SDMLS,240000218,N,Y,33.1291194,-117.3311759
MLS Listing,,Single Family Residential,2665 Wadsworth St,Carlsbad,CA,92010,2325000,5,5.5,Carlsbad East,3897,,2017,33,597,320,Active,,,https://www.redfin.com/CA/Carlsbad/2665-Wadsworth-St-92010/home/113850833,SDMLS,240000209,N,Y,33.1548364,-117.3018012
MLS Listing,,Single Family Residential,5305 Forecastle Ct,Carlsbad,CA,92008,2150000,4,2.5,92008 - Carlsbad,2351,7506,1996,55,915,150,Active,,,https://www.redfin.com/CA/Carlsbad/5305-Forecastle-Ct-92008/home/3713071,CRMLS,NDP2309411,N,Y,33.1453998,-117.2898114
MLS Listing,,Single Family Residential,7093 Marsh Wren St,Carlsbad,CA,92011,2450000,6,4.5,92011 - Carlsbad,3500,9687,2005,58,700,215,Active,,,https://www.redfin.com/CA/Carlsbad/7093-Marsh-Wren-St-92011/home/7514182,CRMLS,NDP2309340,N,Y,33.1029029,-117.3002852
MLS Listing,,Single Family Residential,4120 Andros Way,Oceanside,CA,92056,1369000,3,3.5,92056 - Oceanside,2808,4993,1990,59,488,632,Active,,,https://www.redfin.com/CA/Oceanside/4120-Andros-Way-92056/home/3456231,CRMLS,NDP2309357,N,Y,33.1567901,-117.2697931
MLS Listing,,Single Family Residential,6363 Paseo Corono,Carlsbad,CA,92009,1590000,3,2.0,Carlsbad South,2104,7395,1999,62,756,115,Active,,,https://www.redfin.com/CA/Carlsbad/6363-Paseo-Corono-92009/home/3864870,SDMLS,230023482,N,Y,33.1174741,-117.2347027
MLS Listing,,Single Family Residential,5420 Carlsbad Blvd,Carlsbad,CA,92008,4498888,7,7.5,92008 - Carlsbad,5501,7200,1986,68,818,,Active,,,https://www.redfin.com/CA/Carlsbad/5420-Carlsbad-Blvd-92008/home/3709039,CRMLS,NDP2308688,N,Y,33.1281883,-117.332074
MLS Listing,,Single Family Residential,7971 Paseo Aliso,Carlsbad,CA,92009,1899000,5,3.0,92009 - Carlsbad,2622,9849,2000,70,724,135,Active,,,https://www.redfin.com/CA/Carlsbad/7971-Paseo-Aliso-92009/home/4081025,CRMLS,PW23215079,N,Y,33.0693095,-117.2601943
MLS Listing,,Single Family Residential,4935 Tilos Way,Oceanside,CA,92056,1450000,3,3.5,Oceanside,2808,5833,1991,70,516,669,Active,,,https://www.redfin.com/CA/Oceanside/4935-Tilos-Way-92056/home/3456676,SDMLS,230022725,N,Y,33.1533778,-117.2656597
MLS Listing,,Single Family Residential,6503 Surfside Ln,Carlsbad,CA,92011,3779000,4,2.5,92011 - Carlsbad,2318,4229,2001,72,1630,,Active,,,https://www.redfin.com/CA/Carlsbad/6503-Surfside-Ln-92011/home/3735562,CRMLS,NDP2309058,N,Y,33.1104592,-117.3215719
MLS Listing,,Single Family Residential,5401 Reef Cir,Carlsbad,CA,92008,2025000,4,3.0,Carlsbad East,2798,11694,2015,77,724,170,Active,,,https://www.redfin.com/CA/Carlsbad/5401-Reef-Cir-92008/home/95962003,SDMLS,230022458,N,Y,33.1445108,-117.2871295
MLS Listing,,Single Family Residential,4214 Lindos Way,Oceanside,CA,92056,999800,2,2.0,Oceanside,1613,4795,1998,82,620,577,Active,,,https://www.redfin.com/CA/Oceanside/4214-Lindos-Way-92056/home/3456978,SDMLS,230022436,N,Y,33.1543295,-117.2644162
MLS Listing,,Single Family Residential,2739 Argonauta St,Carlsbad,CA,92009,2599000,5,4.0,La Costa,4104,12086,1990,86,633,,Active,,,https://www.redfin.com/CA/Carlsbad/2739-Argonauta-St-92009/home/3758123,SDMLS,230022206,N,Y,33.1034848,-117.2437053
MLS Listing,,Single Family Residential,6432 La Paloma St,Carlsbad,CA,92009,1695000,4,2.5,92009 - Carlsbad,1900,8625,1978,88,892,9,Active,,,https://www.redfin.com/CA/Carlsbad/6432-La-Paloma-St-92009/home/6378758,CRMLS,NDP2308709,N,Y,33.1116368,-117.2506666
MLS Listing,,Single Family Residential,7116 Sitio Caliente,Carlsbad,CA,92009,2250000,5,4.5,Carlsbad South,3563,,2013,95,631,276,Active,,,https://www.redfin.com/CA/Carlsbad/7116-Sitio-Caliente-92009/home/22564232,SDMLS,230021566,N,Y,33.0980271,-117.2264799
MLS Listing,,Single Family Residential,4465 Adams St,Carlsbad,CA,92008,6200000,4,4.5,Carlsbad West,5775,20190,1988,106,1074,,Active,,,https://www.redfin.com/CA/Carlsbad/4465-Adams-St-92008/home/3693601,SDMLS,230020887,N,Y,33.1450953,-117.3271723
MLS Listing,,Single Family Residential,6160 Paseo Tapajos,Carlsbad,CA,92009,1825000,4,3.5,92009 - Carlsbad,2685,4848,2000,108,680,107,Active,,,https://www.redfin.com/CA/Carlsbad/6160-Paseo-Tapajos-92009/home/3855333,CRMLS,NDP2308206,N,Y,33.1248922,-117.239801
MLS Listing,,Single Family Residential,3402 Santa Clara Way,Carlsbad,CA,92010,1474000,4,2.0,Carlsbad East,1927,15900,1978,120,765,,Active,,,https://www.redfin.com/CA/Carlsbad/3402-Santa-Clara-Way-92010/home/3417058,SDMLS,230018436,N,Y,33.1704054,-117.3160807
MLS Listing,,Single Family Residential,2435 Tuttle St,Carlsbad,CA,92008,1870000,4,3.0,92008 - Carlsbad,1825,6000,1960,125,1025,,Active,,,https://www.redfin.com/CA/Carlsbad/2435-Tuttle-St-92008/home/3231590,CRMLS,ND23179432,N,Y,33.1699856,-117.3471138
MLS Listing,,Single Family Residential,2207 Alga Rd,Carlsbad,CA,92009,1895000,5,3.5,92009 - Carlsbad,3417,16391,1973,126,555,,Active,,,https://www.redfin.com/CA/Carlsbad/2207-Alga-Rd-92009/home/3749962,CRMLS,NDP2307656,N,Y,33.1004794,-117.2583571
MLS Listing,,Single Family Residential,4208 Highland Dr,Carlsbad,CA,92008,5495000,5,3.0,Carlsbad West,3070,62175,1950,131,1790,,Active,,,https://www.redfin.com/CA/Carlsbad/4208-Highland-Dr-92008/home/3693517,SDMLS,230019000,N,Y,33.1506511,-117.3284324
MLS Listing,,Single Family Residential,7210 Aviara Dr,Carlsbad,CA,92011,3700000,4,4.5,92011 - Carlsbad,5156,13127,2002,149,718,287,Active,,,https://www.redfin.com/CA/Carlsbad/7210-Aviara-Dr-92011/home/3765191,CRMLS,NDP2306628,N,Y,33.0971139,-117.2886548
MLS Listing,,Single Family Residential,3615 Catalina Dr,Carlsbad,CA,92010,1400000,4,2.0,92010 - Carlsbad,2141,9100,1965,164,654,,Active,,,https://www.redfin.com/CA/Carlsbad/3615-Catalina-Dr-92010/home/3413925,CRMLS,NDP2306647,N,Y,33.1651357,-117.3198236
MLS Listing,,Single Family Residential,7047 Rockrose Ter,Carlsbad,CA,92011,1975000,4,3.0,92011 - Carlsbad,2412,7977,1995,166,819,128,Active,,,https://www.redfin.com/CA/Carlsbad/7047-Rockrose-Ter-92011/home/3767807,CRMLS,NDP2306559,N,Y,33.1030692,-117.293903
MLS Listing,,Single Family Residential,2499 Jefferson St,Carlsbad,CA,92008,9995000,3,2.0,Carlsbad West,1545,,1975,170,6469,,Active,,,https://www.redfin.com/CA/Carlsbad/2499-Jefferson-St-92008/home/3231528,SDMLS,230015885,N,Y,33.1688936,-117.3493217
MLS Listing,,Single Family Residential,1095 Hoover St,Carlsbad,CA,92008,8600000,6,6.5,Carlsbad West,7250,,2020,251,1186,,Active,,,https://www.redfin.com/CA/Carlsbad/1095-Hoover-St-92008/home/167216865,SDMLS,230010083,N,Y,33.1481582,-117.3299613
MLS Listing,,Single Family Residential,2917 Managua Pl,La Costa,CA,92009,5750000,6,6.0,La Costa,6574,71874,1981,276,875,,Active,,,https://www.redfin.com/CA/Carlsbad/2917-Managua-Pl-92009/home/3759506,SDMLS,230008315,N,Y,33.0937374,-117.2467856
MLS Listing,,Single Family Residential,875 Durward,Chula Vista,CA,91910,849999,4,2.0,91910 - Chula Vista,1540,7200,1965,1,552,,Pre On-Market,,,https://www.redfin.com/CA/Chula-Vista/875-Durward-St-91910/home/6449216,CRMLS,PTP2400684,N,Y,32.6307523,-117.0371353
MLS Listing,,Single Family Residential,1311 KECK Rd,Chula Vista,CA,91913,839999,5,3.5,Chula Vista,2477,,2017,1,339,204,Pre On-Market,,,https://www.redfin.com/CA/Chula-Vista/1311-Keck-Rd-91913/home/143239534,SDMLS,240002620,N,Y,32.611616,-116.9941522
MLS Listing,,Single Family Residential,1127 Pacific Grove Loop,Chula Vista,CA,91915,790000,3,3.0,91915 - Chula Vista,1236,24996,1995,1,639,250,Active,,,https://www.redfin.com/CA/Chula-Vista/1127-Pacific-Grove-Loop-91915/home/6214862,CRMLS,PTP2400680,N,Y,32.6402427,-116.9652798
MLS Listing,,Single Family Residential,1830 Lavender Ln,Chula Vista,CA,91913,799500,3,3.0,91913 - Chula Vista,1822,408809,2009,1,439,198,Active,,,https://www.redfin.com/CA/Chula-Vista/1830-Lavender-Ln-91913/home/17365553,CRMLS,SW24023203,N,Y,32.6120545,-116.9719336
MLS Listing,,Single Family Residential,1922 Parker Mountain Rd,Chula Vista,CA,91913,865000,4,2.5,91913 - Chula Vista,1811,2975,2004,2,478,125,Active,,,https://www.redfin.com/CA/Chula-Vista/1922-Parker-Mountain-Rd-91913/home/6573466,CRMLS,PTP2400417,N,Y,32.633283,-116.976259
MLS Listing,,Single Family Residential,1963 Kent St,Chula Vista,CA,91913,890000,4,2.0,91913 - Chula Vista,1696,6600,1977,3,525,,Active,,,https://www.redfin.com/CA/Chula-Vista/1963-Kent-St-91913/home/6086231,CRMLS,PTP2400658,N,Y,32.6472571,-116.9820919
MLS Listing,,Single Family Residential,442 D St,Chula Vista,CA,91910,899500,3,2.0,91910 - Chula Vista,1676,6607,1950,3,537,,Active,,,https://www.redfin.com/CA/Chula-Vista/442-D-St-91910/home/6439749,CRMLS,PTP2400660,N,Y,32.6463457,-117.0883927
MLS Listing,,Single Family Residential,757 Creekside Pl,Chula Vista,CA,91914,997500,3,2.0,Chula Vista,1908,5081,2002,3,523,151,Active,,,https://www.redfin.com/CA/Chula-Vista/Creekside-Pl-91914/home/6103190,SDMLS,240002498,N,Y,32.6580321,-116.9556457
MLS Listing,,Single Family Residential,1896 Gotham St,Chula Vista,CA,91913,925000,3,2.0,Chula Vista,1390,,1973,3,665,,Active,,,https://www.redfin.com/CA/Chula-Vista/1896-Gotham-St-91913/home/6207619,SDMLS,240002487,N,Y,32.6462539,-116.9847853
MLS Listing,,Single Family Residential,1279 Camino Prado,Chula Vista,CA,91913,1099900,4,3.0,Chula Vista,2314,3950,2019,4,475,139,Active,,,https://www.redfin.com/CA/Chula-Vista/1279-Camino-Prado-91913/home/125766882,SDMLS,240002480,N,Y,32.6004811,-116.9943269
MLS Listing,,Single Family Residential,1809 Martinez Dr,Chula Vista,CA,91913,1725000,4,3.5,91913 - Chula Vista,3527,5331,2020,4,489,61,Active,,,https://www.redfin.com/CA/Chula-Vista/1809-Martinez-Dr-91913/home/143239373,CRMLS,NDP2400759,N,Y,32.6083774,-116.994233
MLS Listing,,Single Family Residential,135 VANCE St,Chula Vista,CA,91910,850000,4,1.5,Chula Vista,1720,7500,1949,4,494,,Active,,,https://www.redfin.com/CA/Chula-Vista/135-Vance-St-91910/home/5957443,SDMLS,240002408,N,Y,32.6390961,-117.071658
MLS Listing,,Single Family Residential,21 Sandalwood,Chula Vista,CA,91910,899900,5,3.0,91910 - Chula Vista,2451,7400,1966,4,367,,Active,,,https://www.redfin.com/CA/Chula-Vista/21-Sandalwood-Dr-91910/home/5961405,CRMLS,NDP2400421,N,Y,32.646994,-117.0675708
MLS Listing,,Single Family Residential,816 E J St,Chula Vista,CA,91910,1190000,4,2.5,91910 - Chula Vista,2294,7000,1985,4,519,,Active,,,https://www.redfin.com/CA/Chula-Vista/816-E-J-St-91910/home/6197306,CRMLS,PTP2400618,N,Y,32.6317129,-117.0250961
